# This file: https://hgdownload.soe.ucsc.edu/hubs/UCSC_GI.assemblyHubList.txt
# last update: 2022-09-02, 2320 assemblies listed
#
# Providing a listing of assembly resources available for display in
# the UCSC Genome Browser.  Tab separated list currently with six columns,
# additional columns may be added in the futue.
# Construct a short URL with the accession name to display this assembly
# in the genome browser. For example: https://genome.ucsc.edu/h/GCA_003369685.2
#
# Note: a clade with suffix '(L)' is found in the 'legacy' set of assemblies.
# 'legacy' are assemblies that have become outdated and superseded by newer
# and better assemblies.
#
# currently clade groupings found in the GenArk are:
# birds fish fungi invertebrate mammals plants primates vertebrate viral
#
# where 'vertebrate' are the 'other' vertebrates not alreaded included in
#    birds fish mammals primates
#
# 'invertebrate' can include a broad range of organisms including single
#    cell eukaryotic protists etc.
#
# 'viral' currently includes most viruses of interest related to human
#         pathogens
#
# future plans to include selected sets of bacteria and archaea assemblies
#
# accession	assembly	scientific name	common name	taxonId	GenArk clade
GCF_000863685.1	ViralProj15456	Human papillomavirus 9	human papillomavirus 9 (1993)	10621	viral
GCF_000863805.1	ViralProj15477	JC polyomavirus	JC polyomavirus (Mad1 1993)	10632	viral
GCF_000863845.1	ViralProj15485	Human papillomavirus type 41	human papillomavirus type 41 (1991)	10589	viral
GCF_000863945.3	ViralProj15505	Human papillomavirus type 16	human papillomavirus type 16 (1993)	333760	viral
GCF_000863965.1	ViralProj15509	Human papillomavirus type 34	human papillomavirus type 34 (1993)	333764	viral
GCF_000864005.1	ViralProj15520	Norovirus GI	Norovirus GI (1993)	122928	viral
GCF_000864225.1	ViralMultiSegProj16140	Rotavirus C	Rotavirus C (Bristol 2005)	36427	viral
GCF_000864245.1	ViralMultiSegProj16144	Adult diarrheal rotavirus strain J19	Adult diarrheal rotavirus strain J19 (J19 2005)	335103	viral
GCF_000864725.1	ViralProj15466	Human papillomavirus type 54	human papillomavirus type 54 (1995)	1671798	viral
GCF_000864765.1	ViralProj15476	Human immunodeficiency virus 1	human immunodeficiency virus 1 (1998)	11676	viral
GCF_000864825.1	ViralProj15488	Human papillomavirus type 96	human papillomavirus type 96 (2003)	247269	viral
GCF_000864845.1	ViralProj15492	Human papillomavirus 4	human papillomavirus 4 (1993)	10617	viral
GCF_000864885.1	ViralProj15500	SARS coronavirus Tor2	SARS coronavirus Tor2 (Tor2 2003)	227984	viral
GCF_000864905.1	ViralProj15504	Human papillomavirus type 10	human papillomavirus type 10 (1993)	333759	viral
GCF_000864925.1	ViralProj15508	Human papillomavirus type 32	human papillomavirus type 32 (1993)	333763	viral
GCF_000864945.1	ViralProj15512	Alphapapillomavirus 4	Alphapapillomavirus 4 (1991)	337043	viral
GCF_000865565.1	ViralProj15486	Human papillomavirus type 63	human papillomavirus type 63 (1993)	28311	viral
GCF_000865685.1	ViralProj15510	Human papillomavirus type 53	human papillomavirus type 53 (1993)	333765	viral
GCF_000865725.1	ViralMultiSegProj15521	Influenza A virus	Influenza A virus (A/Puerto Rico/8/1934 1982)	211044	viral
GCF_000866405.1	ViralProj15491	Mupapillomavirus 1	Mupapillomavirus 1 (1982)	334203	viral
GCF_000866485.1	ViralProj15507	Human papillomavirus type 26	human papillomavirus type 26 (1993)	333762	viral
GCF_000866505.1	ViralProj15511	Human papillomavirus 5	human papillomavirus 5 (1993)	333923	viral
GCF_000866785.1	ViralProj16150	Saint Louis encephalitis virus	Saint Louis encephalitis virus (Kern217 2005)	11080	viral
GCF_000868225.1	ViralProj17119	human papillomavirus 103	human papillomavirus 103 (Qv33725 2006)	338323	viral
GCF_000869845.1	ViralProj17121	Human papillomavirus type 101	human papillomavirus type 101 (Qv23954 2006)	915425	viral
GCF_000870765.1	ViralProj19757	European bat 1 lyssavirus	European bat 1 lyssavirus (RV9; 9395GER 2007)	57482	viral
GCF_000870785.1	ViralProj19765	WU Polyomavirus	WU Polyomavirus (B0 2007)	440266	viral
GCF_000872045.1	ViralProj20959	Human herpesvirus 4 type 2	Epstein-Barr virus type 2 (AG876 2007)	12509	viral
GCF_000873085.1	ViralProj19155	Human polyomavirus 3	human polyomavirus 3 (Stockholm 60 2007)	1891764	viral
GCF_000874865.1	ViralProj28509	Merkel cell polyomavirus	Merkel cell polyomavirus (R17b 2008)	493803	viral
GCF_000874925.1	ViralProj28737	Human papillomavirus type 88	human papillomavirus type 88 (2008)	337054	viral
GCF_000875265.1	ViralProj30053	Human TMEV-like cardiovirus	human TMEV-like cardiovirus (2008)	511755	viral
GCF_000880515.1	ViralProj31177	Human mastadenovirus B	human mastadenovirus B (GB 2008)	108098	viral
GCF_000880735.1	ViralMultiSegProj32521	Rotavirus A	Rotavirus A (RVA/Simian-tc/ZAF/SA11-H96/1958/G3P5B[2] 2008)	28875	viral
GCF_000882135.1	ViralProj36517	Human papillomavirus type 112	human papillomavirus type 112 (2009)	915427	viral
GCF_000882595.1	ViralProj33481	Human T-lymphotropic virus 4	human T-lymphotropic virus 4 (1863LE 2009)	318279	viral
GCF_000882675.1	ViralProj33891	Human bocavirus 2c PK	human bocavirus 2c PK (PK-5510 2009)	1511882	viral
GCF_000882815.3	ViralProj36615	Zika virus	Zika virus (MR 766 2009)	64320	viral
GCF_000882855.1	ViralProj37291	Human bocavirus 3	human bocavirus 3 (W471 2009)	638313	viral
GCF_000883655.1	ViralProj34847	human papillomavirus 108	human papillomavirus 108 (2009)	565537	viral
GCF_000883695.1	ViralProj36519	Human papillomavirus 109	human papillomavirus 109 (2009)	915426	viral
GCF_000884175.1	ViralProj39691	Human papillomavirus 116	human papillomavirus 116 (HPV116 2009)	915428	viral
GCF_000884295.1	ViralProj40315	Human mastadenovirus A	human mastadenovirus A (2004)	129875	viral
GCF_000884955.1	ViralProj38499	Human cosavirus B	human cosavirus B (HCoSV-B1 2263 2009)	586420	viral
GCF_000885595.1	ViralProj38497	Cosavirus A	Cosavirus A (HCoSV-A1 0553 2009)	1330491	viral
GCF_000885675.1	ViralProj39353	Human adenovirus 54	human adenovirus 54 (Kobe-H 2009)	651580	viral
GCF_000886375.1	ViralProj38243	Human bocavirus 4 NI	human bocavirus 4 NI (HBoV4-NI-385 2009)	1511883	viral
GCF_000886535.1	ViralProj39349	Salivirus NG-J1	Salivirus NG-J1 (NG-J1 2009)	651733	viral
GCF_000888015.1	ViralProj62179	Human papillomavirus 132	human papillomavirus 132 (27-50 2011)	909331	viral
GCF_000888495.1	ViralProj51559	Human polyomavirus 6	human polyomavirus 6 (607a 2010)	746830	viral
GCF_000889075.1	ViralProj49377	Human papillomavirus 121	human papillomavirus 121 (NJ3301 2010)	915429	viral
GCF_000889175.1	ViralProj51557	Human polyomavirus 7	human polyomavirus 7 (713a 2010)	746831	viral
GCF_000889675.1	ViralProj62171	Human papillomavirus type 128	human papillomavirus type 128 (2011)	931209	viral
GCF_000889695.1	ViralProj62181	Human papillomavirus 134	human papillomavirus 134 (39-65 2011)	909333	viral
GCF_000890115.1	ViralProj51741	Human papillomavirus 127	human papillomavirus 127 (R3a 2010)	746832	viral
GCF_000890535.1	ViralProj62177	Human papillomavirus type 131	human papillomavirus type 131 (27-49 2011)	909330	viral
GCF_000891495.1	ViralProj62175	Human papillomavirus type 129	human papillomavirus type 129 (2011)	931210	viral
GCF_000891615.1	ViralProj63123	Human polyomavirus 9	human polyomavirus 9 (HPyV9 2011)	943908	viral
GCF_000895575.1	ViralProj76723	Astrovirus MLB2	Astrovirus MLB2 (MLB2/human/Stl/WD0559/2008 2012)	683172	viral
GCF_000896435.1	ViralProj76727	Human papillomavirus 126	human papillomavirus 126 (HPV126 2011)	1055684	viral
GCF_000897255.1	ViralProj167867	Human papillomavirus type 137	human papillomavirus type 137 (NJ2801H 2012)	1070410	viral
GCF_000897955.1	ViralProj178562	Astrovirus VA4	Astrovirus VA4 (VA4/human/Nepal/S5363/2008 2012)	1247113	viral
GCF_000898235.1	ViralProj167865	Human papillomavirus 135	human papillomavirus 135 (NJ3500 2012)	1070408	viral
GCF_000898255.1	ViralProj167869	Human papillomavirus type 144	human papillomavirus type 144 (CL3740 2012)	1070417	viral
GCF_000898855.1	ViralProj167868	Human papillomavirus 140	human papillomavirus 140 (NJ2801C1 2012)	1070413	viral
GCF_000899515.1	ViralProj178458	human papillomavirus 166	human papillomavirus 166 (KC9 2012)	1315259	viral
GCF_000899535.1	ViralProj178563	Astrovirus MLB3	Astrovirus MLB3 (MLB3/human/Vellore/26564/2004 2012)	1247114	viral
GCF_000899695.1	ViralProj167866	Human papillomavirus 136	human papillomavirus 136 (CL3865 2012)	1070409	viral
GCF_000901155.1	ViralProj183710	Middle East respiratory syndrome-related coronavirus	Middle East respiratory syndrome-related coronavirus (HCoV-EMC HCoV-EMC/2012 2012)	1335626	viral
GCF_000901475.1	ViralProj178564	Astrovirus VA3	Astrovirus VA3 (VA3/human/Vellore/28054/2005 2012)	683174	viral
GCF_000905375.1	ViralProj194144	Duvenhage lyssavirus	Duvenhage lyssavirus (86132SA 2013)	38767	viral
GCF_000905975.1	ViralProj194143	Lagos bat lyssavirus	Lagos bat lyssavirus (0406SEN 2013)	38766	viral
GCF_000906235.1	ViralProj195931	Human polyomavirus 12	human polyomavirus 12 (hu1403 2013)	1303334	viral
GCF_000906815.1	ViralProj194137	Chandipura virus	Chandipura virus (CIN 0451 2013)	11272	viral
GCF_000906835.1	ViralProj194141	Isfahan virus	Isfahan virus (2013)	290008	viral
GCF_000907835.1	ViralMultiSegProj209367	Human rotavirus B	human rotavirus B (Bang373 2013)	10942	viral
GCF_000908695.1	ViralProj208538	Human papillomavirus 154	human papillomavirus 154 (PV77 2013)	1195796	viral
GCF_000908835.1	ViralProj209365	Human cyclovirus VS5700009	human cyclovirus VS5700009 (VS5700009 2013)	1345637	viral
GCF_000910675.1	ViralProj214365	Human parainfluenza virus 4a	human parainfluenza virus 4a (M-25 2013)	11224	viral
GCF_000912535.1	ViralProj215652	Human papillomavirus 179	human papillomavirus 179 (SIBX16 2013)	1472342	viral
GCF_000913075.1	ViralProj229821	Human papillomavirus 167	human papillomavirus 167 (KC10 2013)	1420545	viral
GCF_000913595.1	ViralProj222261	Human endogenous retrovirus K113	human endogenous retrovirus K113 (2013)	166122	viral
GCF_000918035.2	ViralProj243497	Human associated cyclovirus 10	human associated cyclovirus 10 (7078A 2014)	2038728	viral
GCF_000918095.1	ViralProj243630	Human papillomavirus 178	human papillomavirus 178 (2014)	1478160	viral
GCF_000918175.1	ViralProj246130	Rosavirus A2	Rosavirus A2 (GA7403 2014)	1511807	viral
GCF_000920655.1	ViralProj244478	Human cosavirus	human cosavirus (Cosavirus_Amsterdam_1994 2014)	1233383	viral
GCF_000923215.1	ViralProj255104	Human astrovirus BF34	human astrovirus BF34 (BF34 2014)	1518575	viral
GCF_000924015.1	ViralProj257742	Human circovirus VS6600022	human circovirus VS6600022 (VS6600022 2014)	1525173	viral
GCF_000929235.1	ViralProj273530	Human smacovirus 1	human smacovirus 1 (France/12/2008/3454 2015)	1595998	viral
GCF_000931315.1	ViralProj274158	Human associated porprismacovirus 2	human associated porprismacovirus 2 (SF2 2015)	2170114	viral
GCF_000935625.1	ASM93562v1	Nanorana parkeri	High Himalaya frog	125878	vertebrate
GCF_000938715.1	LALA0	Lachancea lanzarotensis	budding yeast L.lanzarotensis	1245769	fungi
GCF_000949405.1	V.emery_V1.0	Vollenhovia emeryi	ant V.emeryi	411798	invertebrate
GCF_000951035.1	Cang.pa_1.0	Colobus angolensis palliatus	Angolan colobus	336983	primates
GCF_000951045.1	Mleu.le_1.0	Mandrillus leucophaeus	drill	9568	primates
GCF_000951615.1	common_carp_genome	Cyprinus carpio	common carp (2014)	7962	fish(L)
GCF_000952055.2	Anan_2.0	Aotus nancymaae	Ma's night monkey	37293	primates
GCF_000955945.1	Caty_1.0	Cercocebus atys	sooty mangabey	9531	primates
GCF_000956065.1	Mnem_1.0	Macaca nemestrina	pig-tailed macaque	9545	primates
GCF_000956105.1	Pcoq_1.0	Propithecus coquereli	Coquerel's sifaka 6110/Marcella (2015 refseq)	379532	primates
GCF_000956235.1	wasmannia.A_1.0	Wasmannia auropunctata	little fire ant	64793	invertebrate
GCF_000961545.1	S_schenckii_v1	Sporothrix schenckii 1099-18	ascomycetes S.schenckii 1099-18	1397361	fungi
GCF_000968595.1	ASM96859v1	Rasamsonia emersonii CBS 393.64	ascomycetes R.emersonii CBS 393.64	1408163	fungi
GCF_000971095.1	AnsCyg_PRJNA183603_v1.0	Anser cygnoides domesticus	swan goose (Zhedong 2015)	381198	birds
GCF_000972845.2	L_crocea_2.0	Larimichthys crocea	large yellow croaker	215358	fish
GCF_000973295.1	ViralProj281399	Human genital-associated circular DNA virus-1	human genital-associated circular DNA virus-1 (349 2015)	1488574	viral
GCF_000987745.1	ASM98774v1	Gossypium hirsutum	cotton G.hirsutum (BGI 2015)	3635	plants
GCF_000988165.1	ASM98816v1	Nosema ceranae	microsporidians N.ceranae	40302	fungi
GCF_000989155.1	ViralProj283065	Human papillomavirus KC5	human papillomavirus KC5 (KC5 2015)	1647924	viral
GCF_001015335.1	Stomoxys_calcitrans-1.0.1	Stomoxys calcitrans	stable fly	35570	invertebrate
GCF_001027345.1	Triol1	Cutaneotrichosporon oleaginosum	basidiomycetes C.oleaginosum	879819	fungi
GCF_001039355.2	LinAna2.0	Lingula anatina	brachiopods L.anatina	7574	invertebrate
GCF_001039765.1	AptMant0	Apteryx mantelli mantelli	brown kiwi	202946	birds
GCF_001040885.1	S_ratti_ED321	Strongyloides ratti	nematode S.ratti	34506	invertebrate
GCF_001077635.1	Thamnophis_sirtalis-6.0	Thamnophis sirtalis	common garter snake	35019	vertebrate
GCF_001078395.1	Aud_assembly02	Aspergillus udagawae	ascomycetes A.udagawae IFM 46973	91492	fungi
GCF_001184845.1	ViralProj289889	Human papillomavirus 201	human papillomavirus 201 (HPV201 2015)	1682340	viral
GCF_001185365.1	UNIGE_PanGut_3.0	Pantherophis guttatus	corn snake	94885	vertebrate
GCF_001186105.1	ASM118610v1	Amyelois transitella	moth A.transitella	680683	invertebrate
GCF_001186385.1	Dnoxia_1.0	Diuraphis noxia	Russian wheat aphid	143948	invertebrate
GCF_001188975.3	MU_Boleae_v2	Bactrocera oleae	olive fruit fly	104688	invertebrate
GCF_001190045.1	Vigan1.1	Vigna angularis	adzuki bean	3914	plants
GCF_001194135.1	Octopus_bimaculoides_v2_0	Octopus bimaculoides	cephalopods	37653	invertebrate
GCF_001204775.2	ASM120477v2	Aspergillus nomiae NRRL 13137	ascomycetes A.nomiae NRRL 13137	1509407	fungi
GCF_001263275.1	ASM126327v1	Habropoda laboriosa	bee H.laboriosa	597456	invertebrate
GCF_001263575.1	Nlec1.0	Neodiprion lecontei	redheaded pine sawfly	441921	invertebrate
GCF_001263595.1	ASM126359v1	Phalaenopsis equestris	orchid P.equestris	78828	plants
GCF_001266775.1	Austrofundulus_limnaeus-1.0	Austrofundulus limnaeus	annual killifish	52670	fish
GCF_001272555.1	ASM127255v1	Dufourea novaeangliae	bee D.novaeangliae	178035	invertebrate
GCF_001274345.1	ViralProj293723	Human papillomavirus	human papillomavirus (SE379 2015)	10566	viral
GCF_001278385.1	MalaPachy	Malassezia pachydermatis	basidiomycetes M.pachydermatis	77020	fungi
GCF_001293395.1	ASM129339v1	Leptomonas pyrrhocoris	Leptomonas pyrrhocoris (H10 2015 kinetoplastids)	157538	invertebrate
GCF_001298355.1	Pap_ma_1.0	Papilio machaon	common yellow swallowtail (ya'a_city_454_Pm BGI 2015)	76193	invertebrate
GCF_001298625.1	SEUB3.0	Saccharomyces eubayanus	budding yeast S.eubayanus	1080349	fungi
GCF_001299255.1	ASM129925v1	Phialophora attinorum	ascomycetes P.attinorum	1664694	fungi
GCF_001305755.1	ASM130575v1	Equus asinus	ass (Maral har 2015 refseq)	9793	mammals
GCF_001310135.2	ViralProj298087	Human pegivirus 2	human pegivirus 2 (UC0125.US 2015)	1729141	viral
GCF_001313825.1	ASM131382v1	Dinoponera quadriceps	ant D.quadriceps	609295	invertebrate
GCF_001313835.1	ASM131383v1	Polistes canadensis	red paper wasp	91411	invertebrate
GCF_001329695.1	Rhoba1_1	Rhodotorula graminis WP1	basidiomycetes R.graminis WP1	578459	fungi
GCF_001406875.1	SPENNV200	Solanum pennellii	wild tomato S.pennellii	28526	plants
GCF_001411555.2	Walnut_2.0	Juglans regia	English walnut	51240	plants
GCF_001412225.1	Nicve_v1.0	Nicrophorus vespilloides	beetle N.vespilloides	110193	invertebrate
GCF_001412515.2	Dall2.0	Diachasma alloeum	wasp D.alloeum	454923	invertebrate
GCF_001417885.1	Kmar_1.0	Kluyveromyces marxianus DMKU3-1042	budding yeast K.marxianus DMKU3-1042	1003335	fungi
GCF_001417965.1	Aiptasia_genome_1.1	Exaiptasia pallida	sea anemones	1720309	invertebrate
GCF_001430115.1	ViralProj300230	human papillomavirus 163	human papillomavirus 163 (KC3 2015)	1315262	viral
GCF_001431845.1	ASM143184v1	Calidris pugnax	ruff	198806	birds
GCF_001433935.1	IRGSP-1.0	Oryza sativa Japonica Group	Japanese rice	39947	plants
GCF_001442555.1	ACSNU-2.0	Apis cerana	Asiatic honeybee	7461	invertebrate
GCF_001443285.1	P_latipinna-1.0	Poecilia latipinna	sailfin molly	48699	fish
GCF_001443325.1	P_mexicana-1.0	Poecilia mexicana	shortfin molly	48701	fish
GCF_001444195.1	X_couchianus-1.0	Xiphophorus couchianus	Monterrey platyfish	32473	fish
GCF_001447265.1	Sturnus_vulgaris-1.0	Sturnus vulgaris	common starling	9172	birds
GCF_001447785.1	Gekko_japonicus_V1.1	Gekko japonicus	Schlegel's Japanese gecko	146911	vertebrate
GCF_001447935.2	debFab1.1	Debaryomyces fabryi	budding yeast D.fabryi	58627	fungi
GCF_001448435.1	ViralProj303113	Human associated gemyvongvirus 1	human associated gemyvongvirus 1 (DB1 2015)	1985415	viral
GCF_001458135.1	marMar2.1	Marmota marmota marmota	Alpine marmot	9994	mammals
GCF_001465895.1	Nfu_20140520	Nothobranchius furzeri	turquoise killifish	105023	fish
GCF_001465965.1	Pdom_r1.2	Polistes dominula	European paper wasp	743375	invertebrate
GCF_001466805.2	Raegyp2.0	Rousettus aegyptiacus	Egyptian rousette (1219 2016 Boston U)	9407	mammals
GCF_001477535.1	Pneu_jiro_RU7_V2	Pneumocystis jirovecii RU7	ascomycetes P.jirovecii RU7	1408657	fungi
GCF_001477545.1	Pneu_cari_B80_V3	Pneumocystis carinii B80	ascomycetes P.carinii B80	1408658	fungi
GCF_001481775.2	TGAM01v2	Trichoderma gamsii	ascomycetes T.gamsii	398673	fungi
GCF_001483705.1	ASM148370v1	Eufriesea mexicana	bee E.mexicana	516756	invertebrate
GCF_001500285.1	Phisc1	Mollisia scopiformis	ascomycetes P.scopiformis	149040	fungi
GCF_001515605.1	SAMN03320099.WGS_v1.1	Sinocyclocheilus anshuiensis	Southwestern China cavefish	1608454	fish
GCF_001515625.1	SAMN03320098_v1.1	Sinocyclocheilus rhinocerous	horned golden-line barbel	307959	fish
GCF_001515645.1	SAMN03320097.WGS_v1.1	Sinocyclocheilus grahami	golden-line barbel	75366	fish
GCF_001522545.3	Parus_major1.1	Parus major	great tit	9157	birds
GCF_001527695.2	P.Mucros_1.0	Protobothrops mucrosquamatus	brown spotted pit viper	103944	vertebrate
GCF_001531365.1	CcrdV1	Cynara cardunculus var. scolymus	globe artichoke	59895	plants
GCF_001540865.1	ASM154086v1	Ananas comosus	pineapple	4615	plants
GCF_001548555.1	ASM154855v1	Eremothecium sinecaudum	budding yeast E.sinecaudum	45286	fungi
GCF_001561935.1	ASM156193v1	Penicillium griseofulvum	ascomycetes P.griseofulvum PG3	5078	fungi
GCF_001577835.1	Coturnix_japonica_2.0	Coturnix japonica	Japanese quail	93934	birds(L)
GCF_001577835.2	Coturnix_japonica_2.1	Coturnix japonica	Japanese quail	93934	birds
GCF_001594045.1	Acol1.0	Atta colombica	ant A.colombica	520822	invertebrate
GCF_001594055.1	Tzet1.0	Trachymyrmex zeteki	ant T.zeteki	64791	invertebrate
GCF_001594065.1	Ccosl1.0	Cyphomyrmex costatus	ant C.costatus	456900	invertebrate
GCF_001594075.1	Tcor1.0	Trachymyrmex cornetzi	ant T.cornetzi (Tcor2-1 v1.0 2016 BGI)	471704	invertebrates(L)
GCF_001594075.2	Tcor1.1	Trachymyrmex cornetzi	ant T.cornetzi (Tcor2-1 v1.1 2016 BGI)	471704	invertebrate
GCF_001594115.1	Tsep1.0	Trachymyrmex septentrionalis	ant T.septentrionalis	34720	invertebrate
GCF_001595765.1	Mnat.v1	Miniopterus natalensis	Natal long-fingered bat	291302	mammals
GCF_001604755.1	Lepidothrix_coronata-1.0	Lepidothrix coronata	blue-crowned manakin	321398	birds
GCF_001604975.1	Cebus_imitator-1.0	Cebus imitator	Panamanian white-faced capuchin	2715852	primates
GCF_001605985.2	ASM160598v2	Dendrobium catenatum	orchid D.catenatum	906689	plants
GCF_001619985.1	Xylona_heveae_TC161_v1.0	Xylona heveae TC161	ascomycetes X.heveae TC161	1328760	fungi
GCF_001625195.1	ASM162519v1	Drechmeria coniospora	ascomycetes D.coniospora ARSEF 6962	98403	fungi
GCF_001625215.1	ASM162521v1	Daucus carota subsp. sativus	carrot	79200	plants
GCF_001625305.1	Haploidv18h27	Branchiostoma belcheri	Belcher's lancelet	7741	invertebrate
GCF_001632365.1	Laesu1	Laetiporus sulphureus 93-53	chicken-of-the-woods 93-53	1314785	fungi
GCF_001633185.1	ValleyOak3.0	Quercus lobata	valley oak (v3.0 2019)	97700	plants(L)
GCF_001633185.2	ValleyOak3.2	Quercus lobata	valley oak (v3.2 2019)	97700	plants
GCF_001636725.1	ISF_1.0	Cordyceps fumosorosea ARSEF 2679	ascomycetes C.fumosorosea ARSEF 2679	1081104	fungi
GCF_001638985.1	Phybl2	Phycomyces blakesleeanus NRRL 1555(-)	fungi P.blakesleeanus NRRL 1555(-)	763407	fungi
GCF_001640025.1	ASM164002v2	Sugiyamaella lignohabitans	budding yeast S.lignohabitans	796027	fungi
GCF_001640805.1	ASM164080v1	Lates calcarifer	barramundi perch	8187	fish
GCF_001641265.1	ASM164126v1	Pseudogymnoascus destructans	ascomycetes P.destructans	655981	fungi
GCF_001642045.1	Parsp1	Paraphaeosphaeria sporulosa	ascomycetes P.sporulosa	1460663	fungi
GCF_001642055.1	Altal1	Alternaria alternata	ascomycetes A.alternata	5599	fungi
GCF_001642345.1	ASM164234v2	Rhincodon typus	whale shark (Ralph 2017 Emory U)	259920	vertebrate
GCF_001642475.1	ASM164247v1	Fonsecaea monophora	ascomycetes F.monophora	254056	fungi
GCF_001646965.1	ASM164696v1	Fonsecaea nubica	ascomycetes F.nubica	856822	fungi
GCF_001649575.1	ASM164957v1	Kryptolebias marmoratus	mangrove rivulus	37003	fish(L)
GCF_001649575.2	ASM164957v2	Kryptolebias marmoratus	mangrove rivulus	37003	fish
GCF_001651985.1	ASM165198v1	Fonsecaea erecta	ascomycetes F.erecta	1367422	fungi
GCF_001652005.1	ASM165200v1	Ceratina calcarata	bee C.calcarata	156304	invertebrate
GCF_001653235.2	ASM165323v2	Pochonia chlamydosporia 170	ascomycetes P.chlamydosporia 170	1380566	fungi
GCF_001653265.1	ASM165326v1	Purpureocillium lilacinum	ascomycetes P.lilacinum	33203	fungi
GCF_001654015.2	UFRJ_Dnav_4.2	Drosophila navojoa	fly D.navojoa	7232	invertebrate
GCF_001654025.1	ASM165402v1	Drosophila arizonae	fly D.arizonae	7263	invertebrate
GCF_001654055.1	ASM165405v1	Hevea brasiliensis	rubber tree	3981	plants
GCF_001659605.1	Manihot_esculenta_v6	Manihot esculenta	cassava (v6 AM560-2 2016 DOE)	3983	plants(L)
GCF_001659605.2	M.esculenta_v8	Manihot esculenta	cassava (v8 AM560-2 2021 DOE)	3983	plants
GCF_001660625.1	IpCoco_1.2	Ictalurus punctatus	channel catfish (USDA103 v1 2016)	7998	fish(L)
GCF_001660625.2	IpCoco_1.2	Ictalurus punctatus	channel catfish (USDA103 v2 2019)	7998	fish
GCF_001661235.1	Picme2	Pichia membranifaciens NRRL Y-2026	budding yeast P.membranifaciens NRRL Y-2026	763406	fungi
GCF_001661255.1	Wican1	Wickerhamomyces anomalus NRRL Y-366-8	budding yeast W.anomalus NRRL Y-366-8	683960	fungi
GCF_001661265.1	Saico1	Saitoella complicata NRRL Y-17804	ascomycetes S.complicata NRRL Y-17804	698492	fungi
GCF_001661335.1	Babin1	Babjeviella inositovora NRRL Y-12698	budding yeast B.inositovora NRRL Y-12698	984486	fungi
GCF_001661345.1	Ascru1	Ascoidea rubescens DSM 1968	budding yeast A.rubescens DSM 1968	1344418	fungi
GCF_001661395.1	Hypbu1	Hyphopichia burtonii NRRL Y-1933	budding yeast H.burtonii NRRL Y-1933	984485	fungi
GCF_001661405.1	Cybja1	Cyberlindnera jadinii NRRL Y-1542	budding yeast C.jadinii NRRL Y-1542	983966	fungi
GCF_001661415.1	Canta1	Suhomyces tanzawaensis NRRL Y-17324	budding yeast S.tanzawaensis NRRL Y-17324	984487	fungi
GCF_001662655.1	ASM166265v1	Pseudogymnoascus verrucosus	ascomycetes P.verrucosus	342668	fungi
GCF_001663975.1	Xenopus_laevis_v2	Xenopus laevis	African clawed frog (2016)	8355	vertebrate(L)
GCF_001664035.1	Metbi1	Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993	budding yeast M.bicuspidata var. bicuspidata NRRL YB-4993	869754	fungi
GCF_001664045.1	Hanpo2	Ogataea polymorpha	budding yeast O.polymorpha	460523	fungi
GCF_001672515.1	ASM167251v1	Colletotrichum higginsianum IMI 349063	ascomycetes C.higginsianum IMI 349063	759273	fungi
GCF_001682695.1	Pygocentrus_nattereri-1.0.2	Pygocentrus nattereri	red-bellied piranha (Pna-1 2016)	42514	fish
GCF_001683475.1	ASM168347v1	Chenopodium quinoa	quinoa	63459	plants
GCF_001685135.1	ManJav1.0	Manis javanica	Malayan pangolin (MP_PG03-UM 2016 refseq)	9974	mammals
GCF_001687245.1	Rhagoletis_zephyria_1.0	Rhagoletis zephyria	snowberry fruit fly (East Lansing v1.0 2016)	28612	invertebrates(L)
GCF_001687245.2	Rhagoletis_zephyria_1.1	Rhagoletis zephyria	snowberry fruit fly (East Lansing v1.1 2016)	28612	invertebrate
GCF_001698545.1	ASM169854v1	Rhinopithecus bieti	black snub-nosed monkey (Rb0 v1 refseq 2016)	61621	primates(L)
GCF_001698545.2	ASM169854v2	Rhinopithecus bieti	black snub-nosed monkey (Rb0 v2 refseq 2016)	61621	primates
GCF_001704415.1	ARS1	Capra hircus	goat (San Clemente 2016 USDA refseq)	9925	mammals
GCF_001715985.3	ASM171598v3	Manacus vitellinus	golden-collared manakin	328815	birds
GCF_001720155.1	Tsuc_wing_CBS7118_V1	Cryptococcus wingfieldii CBS 7118	basidiomycetes C.wingfieldii CBS 7118	1295528	fungi
GCF_001720205.1	Cryp_amyl_CBS6039_V3	Cryptococcus amylolentus CBS 6039	basidiomycetes C.amylolentus CBS 6039	1295533	fungi
GCF_001723895.1	CroPor_comp1	Crocodylus porosus	Australian saltwater crocodile	8502	vertebrate
GCF_001723915.1	GavGan_comp1	Gavialis gangeticus	gharial	94835	vertebrate
GCF_001773325.1	ASM177332v1	Penicillium arizonense	ascomycetes P.arizonense	1835702	fungi
GCF_001792695.1	ASM179269v1	Aspergillus bombycis	ascomycetes A.bombycis	109264	fungi
GCF_001831195.1	CORC01	Colletotrichum orchidophilum	ascomycetes C.orchidophilum	1209926	fungi
GCF_001853355.1	ASM185335v1	Bactrocera latifrons	fly B.latifrons	174628	invertebrate
GCF_001854935.1	ASM185493v1	Bemisia tabaci	sweet potato whitefly	7038	invertebrate
GCF_001856785.1	MPER_G0061.0	Myzus persicae	green peach aphid	13164	invertebrate
